id_customer,nama_customer,usia,gender,kota,kategori_produk,produk,nilai_transaksi,tanggal_beli
2372,Sari,45,P,Depok,Fashion,Dress,2000000,2024/02/06
2373,Adi,35,L,Surabaya,Elektronik,Smartphone,,2024/02/07
2374,Sinta,35,L,Bogor,Fashion,Sepatu,,18/02/2024
2375,Rama,150,P,Surabaya,Kosmetik,Serum,2000000,2024/02/09
2376,Adi,,P,Surabaya,Elektronik,Power Bank,2000000,2024/02/01
2377,Sari,150,L,,Kosmetik,Serum,150000,10/02/2024
2378,Adi,18,L,Bekasi,Fashion,Kaos,500000,20-02-2024
2379,Sari,25,L,Bekasi,Elektronik,Mouse,,2024/02/17
2380,Sinta,18,L,Bekasi,Fashion,Dress,,2024/02/15
2381,Sinta,45,L,DEPOK,Elektronik,Power Bank,85000000,2024-02-17
2382,Wulan,,P,,Fashion,Sepatu,,2024-02-14
2383,Rina,35,P,Surabaya,Kosmetik,Skincare,300000,17-02-2024
2384,Rina,150,P,bandung,Fashion,Kaos,,18-02-2024
2385,Sari,25,P,DEPOK,Elektronik,Headset,300000,2024/02/20
2386,Rina,18,L,,Elektronik,Headset,85000000,2024/02/14
2387,Bayu,abc,L,Bandung,Elektronik,Monitor,500000,2024/02/06
2388,Sari,,P,bandung,Fashion,Tas,300000,02-02-2024
2389,Tina,abc,L,Depok,Kosmetik,Skincare,2000000,2024/02/15
2390,Bayu,35,P,Jakarta,Fashion,Sepatu,,2024-02-03
2391,Fahmi,abc,P,bandung,Fashion,Kaos,750000,19-02-2024
2392,Fahmi,150,P,,Elektronik,Headset,1200000,08-02-2024
2393,Adi,abc,L,Surabaya,Elektronik,Monitor,1200000,03/02/2024
2394,Rama,45,P,Surabaya,Elektronik,Power Bank,750000,04/02/2024
2395,Fahmi,30,L,Surabaya,Fashion,Sepatu,1200000,2024-02-19
2396,Rama,150,P,Bogor,Kosmetik,Bedak,300000,02/02/2024
2397,Irwan,22,L,DEPOK,Elektronik,Keyboard,1200000,19/02/2024
2398,Agus,35,L,Surabaya,Elektronik,Monitor,500000,02/02/2024
2399,Irwan,40,L,Bandung,Kosmetik,Lipstik,500000,12/02/2024
2400,Tina,25,P,Jakarta,Kosmetik,Bedak,2000000,2024/02/20
2090,Lina,22,L,DEPOK,Elektronik,Keyboard,500000,14-02-2024
2402,Sinta,,P,Bandung,Kosmetik,Skincare,750000,2024-02-05
2403,Tina,abc,P,Depok,Fashion,Tas,85000000,2024/02/08
2404,Fahmi,45,L,Surabaya,Fashion,Dress,750000,2024-02-12
2405,Hendra,40,L,Jakarta,Elektronik,Monitor,85000000,12/02/2024
2406,Sari,45,L,,Elektronik,Mouse,300000,2024/02/15
2407,Hendra,22,L,Bekasi,Fashion,Sepatu,1200000,19/02/2024
2408,Nia,18,P,Bekasi,Elektronik,Power Bank,300000,2024-02-17
2409,Rina,45,P,Bekasi,Elektronik,Monitor,300000,2024/02/17
2410,Wulan,40,L,Depok,Fashion,Kaos,750000,2024-02-05
2411,Sinta,35,P,bandung,Elektronik,Laptop,1200000,21-02-2024
2412,Agus,150,L,Depok,Fashion,Tas,750000,06-02-2024
2413,Bayu,,P,,Fashion,Sepatu,,2024/02/13
2414,Hendra,45,P,Bogor,Fashion,Jaket,2000000,12-02-2024
2415,Lina,,L,Jakarta,Kosmetik,Skincare,750000,16/02/2024
2416,Hendra,40,P,Surabaya,Kosmetik,Bedak,300000,2024-02-11
2417,Hendra,abc,P,bandung,Fashion,Sepatu,85000000,02-02-2024
2418,Sari,30,L,Bogor,Kosmetik,Skincare,2000000,2024/02/11
2419,Rina,25,L,Bandung,Fashion,Dress,150000,2024-02-19
2420,Rama,22,P,DEPOK,Elektronik,Laptop,300000,01/02/2024
2421,Rina,25,P,Surabaya,Kosmetik,Bedak,300000,2024-02-02
2422,Bayu,,P,Bogor,Elektronik,Mouse,300000,11-02-2024
2423,Rina,40,P,Surabaya,Kosmetik,Serum,,2024-02-21
2424,Rama,abc,P,,Kosmetik,Serum,,02/02/2024
2425,Hendra,18,P,Bandung,Kosmetik,Bedak,300000,2024/02/18
2426,Bayu,30,L,,Elektronik,Keyboard,1200000,2024-02-15
2427,Irwan,150,P,Jakarta,Elektronik,Monitor,85000000,2024/02/18
2428,Wulan,35,P,DEPOK,Fashion,Jaket,150000,17-02-2024
2429,Rama,22,L,,Elektronik,Monitor,85000000,08-02-2024
2430,Tina,30,L,Surabaya,Fashion,Dress,,19-02-2024
2431,Sari,35,P,bandung,Fashion,Kaos,750000,17-02-2024
2432,Tina,150,P,Surabaya,Fashion,Dress,1200000,2024-02-07
2433,Nia,18,P,Bekasi,Kosmetik,Lipstik,500000,2024-02-20
2434,Wulan,25,L,,Elektronik,Headset,2000000,09-02-2024
2435,Wulan,25,P,Jakarta,Fashion,Dress,300000,2024/02/05
2436,Bayu,18,P,bandung,Elektronik,Monitor,2000000,10/02/2024
2437,Rama,18,L,Bekasi,Kosmetik,Skincare,2000000,14/02/2024
2438,Sari,22,P,Bogor,Kosmetik,Lipstik,85000000,06-02-2024
2439,Adi,18,P,,Kosmetik,Bedak,300000,03/02/2024
2440,Agus,,L,Bogor,Fashion,Dress,2000000,12-02-2024
2441,Sari,25,L,bandung,Kosmetik,Serum,750000,15/02/2024
2442,Rama,150,P,Depok,Fashion,Jaket,500000,09-02-2024
2443,Tina,40,P,Surabaya,Elektronik,Headset,300000,06/02/2024
2444,Rama,abc,P,Bandung,Fashion,Sepatu,300000,2024-02-09
2445,Hendra,40,L,Jakarta,Fashion,Kaos,1200000,2024-02-04
2446,Sari,abc,P,Depok,Elektronik,Headset,1200000,15-02-2024
2447,Irwan,25,L,Surabaya,Elektronik,Laptop,2000000,16-02-2024
2448,Bayu,18,L,bandung,Fashion,Dress,1200000,2024-02-14
2449,Nia,18,P,Depok,Elektronik,Keyboard,500000,04/02/2024
2450,Fahmi,35,P,Depok,Elektronik,Mouse,750000,2024/02/11
2451,Sinta,18,P,Jakarta,Kosmetik,Serum,2000000,05/02/2024
2452,Doni,30,P,,Kosmetik,Skincare,750000,2024/02/02
2453,Sari,35,P,Bandung,Elektronik,Headset,85000000,19/02/2024
2454,Sinta,150,P,Bandung,Elektronik,Laptop,300000,09-02-2024
2455,Doni,150,L,DEPOK,Fashion,Kaos,500000,2024-02-05
2456,Nia,40,P,DEPOK,Elektronik,Keyboard,2000000,2024/02/03
2457,Rina,35,L,Jakarta,Fashion,Dress,,18-02-2024
2458,Doni,45,L,bandung,Fashion,Kaos,150000,2024-02-12
2459,Doni,,L,Surabaya,Elektronik,Monitor,2000000,2024-02-06
2460,Irwan,25,L,Bandung,Elektronik,Keyboard,1200000,2024/02/01
2461,Fahmi,30,L,Bandung,Elektronik,Monitor,1200000,2024-02-17
2462,Doni,22,P,Jakarta,Elektronik,Smartphone,500000,2024-02-02
2463,Sinta,45,P,Bogor,Kosmetik,Skincare,,19-02-2024
2464,Adi,40,P,Surabaya,Elektronik,Mouse,750000,08/02/2024
2465,Agus,25,P,Bandung,Fashion,Sepatu,150000,2024/02/09
2466,Fahmi,35,L,Depok,Elektronik,Laptop,85000000,12/02/2024
2467,Wulan,40,L,Bekasi,Kosmetik,Skincare,2000000,10/02/2024
2468,Nia,30,P,bandung,Kosmetik,Serum,,10/02/2024
2469,Rina,45,L,Jakarta,Fashion,Kaos,1200000,09/02/2024
2470,Doni,abc,P,Jakarta,Kosmetik,Skincare,,2024-02-05
2471,Tina,40,P,bandung,Fashion,Kaos,85000000,2024/02/07
2472,Rina,22,L,,Elektronik,Smartphone,300000,2024-02-17
2473,Agus,35,L,Bekasi,Fashion,Sepatu,2000000,11-02-2024
2474,Rina,,L,bandung,Kosmetik,Bedak,1200000,2024/02/15
2475,Sari,,L,bandung,Elektronik,Monitor,1200000,2024-02-04
2476,Irwan,18,P,Bogor,Elektronik,Power Bank,,2024/02/08
2477,Hendra,25,P,Jakarta,Kosmetik,Skincare,500000,2024/02/12
2478,Hendra,,P,Depok,Elektronik,Keyboard,,2024/02/13
2479,Tina,25,L,Bogor,Fashion,Sepatu,750000,2024/02/12
2480,Irwan,25,L,Bekasi,Kosmetik,Serum,,19/02/2024
2090,Doni,abc,P,,Fashion,Sepatu,,07/02/2024
2482,Bayu,18,P,,Kosmetik,Lipstik,1200000,2024-02-03
2483,Hendra,150,L,Depok,Elektronik,Monitor,300000,21/02/2024
2484,Tina,35,P,Jakarta,Kosmetik,Bedak,,2024/02/03
2485,Adi,,P,bandung,Elektronik,Monitor,750000,16-02-2024
2486,Agus,35,P,Bandung,Fashion,Sepatu,150000,15/02/2024
2487,Rama,40,P,Bandung,Kosmetik,Skincare,150000,2024-02-05
2488,Rina,18,L,Jakarta,Kosmetik,Bedak,1200000,2024/02/14
2489,Tina,18,L,Bekasi,Elektronik,Smartphone,500000,03-02-2024
2490,Bayu,150,P,DEPOK,Elektronik,Headset,2000000,2024-02-05
2491,Tina,40,P,DEPOK,Fashion,Kaos,500000,2024-02-06
2492,Sari,45,P,Jakarta,Elektronik,Keyboard,1200000,2024/02/13
2493,Tina,35,P,,Fashion,Tas,750000,2024-02-17
2494,Lina,25,P,DEPOK,Elektronik,Monitor,750000,19-02-2024
2495,Wulan,35,L,Surabaya,Fashion,Dress,2000000,19-02-2024
2496,Nia,30,P,Jakarta,Elektronik,Mouse,150000,09/02/2024
2497,Bayu,18,L,Jakarta,Kosmetik,Lipstik,300000,2024/02/16
2498,Agus,40,P,Bogor,Fashion,Kaos,,21-02-2024
2499,Hendra,150,L,Bogor,Elektronik,Smartphone,,11-02-2024
2500,Wulan,25,L,Surabaya,Kosmetik,Serum,300000,2024-02-15
